Date,Adj Close AVAL,Close AVAL,Dividends AVAL,High AVAL,Low AVAL,Open AVAL,Stock Splits AVAL,Volume AVAL,Day_of_Week,Month,Year,Quarter,SMA_7,SMA_21,Volatility_7,Daily_Return,Cumulative_Return,RSI,Momentum,BB_middle,BB_upper,BB_lower
2014-12-10,6.316479682922363,10.789999961853027,0.0,11.529999732971191,10.789999961853027,11.529999732971191,0.0,313500,Wednesday,12,2014,4,6.832469327109201,7.381395544324603,0.24657446734448532,-0.06010439265397216,0.8030704888516578,8.54632835955185,-0.7902865409851074,7.357614278793335,8.270733035560884,6.444495522025786
2014-12-11,6.123295307159424,10.460000038146973,0.0,10.859999656677246,10.420000076293944,10.510000228881836,0.0,577000,Thursday,12,2014,4,6.7145523343767435,7.298837184906006,0.3551708026814,-0.03058418382714745,0.7785092333944615,8.246002485447775,-0.8254189491271973,7.267428207397461,8.293112725514698,6.241743689280224
2014-12-12,5.83644962310791,9.970000267028809,0.0,10.5600004196167,9.859999656677246,10.470000267028809,0.0,661100,Friday,12,2014,4,6.549804074423654,7.19928637005034,0.45866634823565045,-0.046844986181889814,0.7420399791136244,6.881874396559908,-1.1532378196716309,7.172816014289856,8.35630249443781,5.989329534141902
2014-12-15,5.537896156311035,9.460000038146973,0.0,10.130000114440918,9.199999809265137,10.0600004196167,0.0,801900,Monday,12,2014,4,6.339059625353132,7.094962687719436,0.5417047335980555,-0.05115326715317303,0.7040822098236902,6.138025938734756,-1.4752111434936532,7.059484577178955,8.410512857386765,5.708456296971145
2014-12-16,5.637415885925293,9.630000114440918,0.0,9.859999656677246,9.100000381469728,9.380000114440918,0.0,921300,Tuesday,12,2014,4,6.15591253553118,6.99176702045259,0.5293581445790814,0.01797067456760537,0.7167350420852722,10.319506452731105,-1.282029628753662,6.950545883178711,8.39294093491712,5.508150831440302
2014-12-17,5.906702041625977,10.09000015258789,0.0,10.25,9.5600004196167,9.609999656677246,0.0,1103500,Wednesday,12,2014,4,6.011234896523612,6.9008390335809615,0.4110803240280044,0.04776765829411289,0.750971796663018,16.856557539021736,-1.0127434730529785,6.8571129322052,8.316535104548151,5.397690759862249
2014-12-18,6.164275169372559,10.529999732971191,0.0,10.760000228881836,10.239999771118164,10.289999961853027,0.0,1177700,Thursday,12,2014,4,5.931787695203509,6.824120657784598,0.28584303997496846,0.04360692750902295,0.7837193693614231,27.764661958771242,-0.5561304092407227,6.775683832168579,8.19649753798636,5.354870126350798
2014-12-19,6.269649028778076,10.710000038146973,0.0,10.81999969482422,10.4399995803833,10.630000114440918,0.0,707000,Friday,12,2014,4,5.925097601754325,6.751586936769032,0.27570712566960687,0.0170942822165161,0.7971164894398373,32.771176327421486,-0.04683065414428711,6.705939817428589,8.079189547417249,5.332690087439929
2014-12-22,6.369163990020752,10.880000114440918,0.0,10.970000267028809,10.5600004196167,10.619999885559082,0.0,1407700,Monday,12,2014,4,5.960221699305943,6.689902873266311,0.31763795586285865,0.015872493146888544,0.8097687154557429,37.77769822241361,0.24586868286132812,6.640879654884339,7.943206447659638,5.338552862109039
2014-12-23,6.375018119812012,10.890000343322754,0.0,10.979999542236328,10.75,10.890000343322754,0.0,1108600,Tuesday,12,2014,4,6.0371600559779575,6.628219581785656,0.3465696646070256,0.0009191362948781645,0.8105130032725751,36.84215898607493,0.5385684967041016,6.578153944015503,7.798233280575673,5.3580746074553325
2014-12-24,6.445265769958496,11.010000228881836,0.0,11.1899995803833,10.789999961853027,11.1899995803833,0.0,671800,Wednesday,12,2014,4,6.166784286499023,6.571825935727074,0.2944859755745738,0.011019207918511187,0.8194442145762926,38.08347779725309,0.9073696136474609,6.52400426864624,7.659752101681814,5.388256435610666
2014-12-26,6.316479682922363,10.789999961853027,0.0,10.979999542236328,10.789999961853027,10.9399995803833,0.0,97800,Friday,12,2014,4,6.263793400355747,6.514122145516532,0.18103147509302261,-0.01998150140470656,0.8030704888516578,37.53020287774182,0.6790637969970703,6.459317374229431,7.475673522425511,5.442961226033351
2014-12-29,6.198957920074463,10.550000190734863,0.04,10.81999969482422,10.420000076293944,10.739999771118164,0.0,205000,Monday,12,2014,4,6.305544240134103,6.446919304983957,0.10093053924571076,-0.018605579175001496,0.7881288972882211,35.790470730648536,0.29225587844848633,6.4057310104370115,7.3526032555276695,5.458858765346354
